,query,jieba_pos,jieba_segment,jieba_keywords,tfidf_keywords,textrank_keywords,Unnamed: 0,text_rank_keywords
0,宝宝六个月加什么辅食？,宝宝/nr 六个月/m 加/v 辅食/x,宝宝 六个月 加 辅食,辅食 六个月 宝宝,宝宝 六个月 辅食,六个月 宝宝 辅食,0,加 六个月 辅食 宝宝
1,二三十九九点胎动有时候比较平凡。,二三十/m 九九/m 点/m 胎动/n 有时候/l 平凡/a,二三十 九九 点 胎动 有时候 平凡,胎动 九九 二三十 平凡 有时候,胎动 有时候 二三十 九九 平凡,胎动 九九 有时候 平凡,1,胎动 点 有时候 九九 平凡 二三十
2,耻骨疼。,耻骨/n 疼/v,耻骨 疼,耻骨,耻骨,,2,疼 耻骨
3,宝宝发烧要怎么退烧？,宝宝/nr 发烧/v 退烧/v,宝宝 发烧 退烧,退烧 发烧 宝宝,宝宝 发烧 退烧,退烧 宝宝 发烧,3,发烧 退烧 宝宝
4,孕妇能不能吃红薯？,孕妇/n 吃/v 红薯/n,孕妇 吃 红薯,红薯 孕妇,孕妇 红薯,红薯 孕妇,4,吃 红薯 孕妇
5,宝宝能不能吃红薯？,宝宝/nr 吃/v 红薯/n,宝宝 吃 红薯,红薯 宝宝,宝宝 红薯,红薯 宝宝,5,吃 红薯 宝宝
6,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,6,发育 指标 宝宝
7,我想问你呢，看B超可以看到男孩还是女孩吗？,想/v 问/n B超/n 男孩/n 女孩/n,想 问 B超 男孩 女孩,B超 男孩 女孩,男孩 女孩,男孩 女孩 B超,7,B超 男孩 问 女孩 想
8,怀孕体温什么时候会升高？,怀孕/v 体温/n 升高/v,怀孕 体温 升高,体温 怀孕 升高,怀孕 升高 体温,怀孕 升高 体温,8,体温 升高 怀孕
9,排卵几天可以测到怀孕排卵几天后可以测到怀孕？,排卵/v 几天/m 测/vn 怀孕/v 排卵/v 几天/m 测/vn 怀孕/v,排卵 几天 测 怀孕 排卵 几天 测 怀孕,排卵 怀孕 几天,怀孕 几天 排卵,几天 怀孕 排卵,9,测 几天 怀孕 排卵
10,孕妇可以吃也稀饭吗？,孕妇/n 吃/v 稀饭/n,孕妇 吃 稀饭,稀饭 孕妇,孕妇 稀饭,稀饭 孕妇,10,吃 稀饭 孕妇
11,孕妇可以吃野鸡包吗？,孕妇/n 吃/v 野鸡/n 包/v,孕妇 吃 野鸡 包,野鸡 孕妇,孕妇 野鸡,野鸡 孕妇,11,野鸡 吃 包 孕妇
12,我想问一下，可以看出男孩还是女孩吗？,想/v 问/n 男孩/n 女孩/n,想 问 男孩 女孩,男孩 女孩,男孩 女孩,男孩 女孩,12,男孩 问 女孩 想
13,排卵后几天可以测到怀孕？,排卵/v 几天/m 测/vn 怀孕/v,排卵 几天 测 怀孕,排卵 怀孕 几天,怀孕 几天 排卵,几天 排卵 怀孕,13,测 几天 怀孕 排卵
14,孕妇可以吃流沙包吗？,孕妇/n 吃/v 流沙包/x,孕妇 吃 流沙包,流沙包 孕妇,孕妇 流沙包,流沙包 孕妇,14,吃 流沙包 孕妇
15,孕妇可以吃客淘宝吗？,孕妇/n 吃客/v 淘宝/nz,孕妇 吃客 淘宝,吃客 淘宝 孕妇,孕妇 淘宝 吃客,淘宝 孕妇 吃客,15,吃客 淘宝 孕妇
16,怀孕体温什么时候会升高？,怀孕/v 体温/n 升高/v,怀孕 体温 升高,体温 怀孕 升高,怀孕 升高 体温,怀孕 升高 体温,16,体温 升高 怀孕
17,排卵后几天可以测到怀孕？,排卵/v 几天/m 测/vn 怀孕/v,排卵 几天 测 怀孕,排卵 怀孕 几天,怀孕 几天 排卵,几天 排卵 怀孕,17,测 几天 怀孕 排卵
18,排卵几天可以测到怀孕排卵几天后可以测到怀孕？,排卵/v 几天/m 测/vn 怀孕/v 排卵/v 几天/m 测/vn 怀孕/v,排卵 几天 测 怀孕 排卵 几天 测 怀孕,排卵 怀孕 几天,怀孕 几天 排卵,几天 怀孕 排卵,18,测 几天 怀孕 排卵
19,孕妇可以吃也稀饭吗？,孕妇/n 吃/v 稀饭/n,孕妇 吃 稀饭,稀饭 孕妇,孕妇 稀饭,稀饭 孕妇,19,吃 稀饭 孕妇
20,孕妇可以吃野鸡包吗？,孕妇/n 吃/v 野鸡/n 包/v,孕妇 吃 野鸡 包,野鸡 孕妇,孕妇 野鸡,野鸡 孕妇,20,野鸡 吃 包 孕妇
21,孕妇可以吃猪肉包吗？,孕妇/n 吃/v 猪肉/n 包/v,孕妇 吃 猪肉 包,猪肉 孕妇,孕妇 猪肉,猪肉 孕妇,21,猪肉 吃 包 孕妇
22,孕妇可以吃流沙包吗？,孕妇/n 吃/v 流沙包/x,孕妇 吃 流沙包,流沙包 孕妇,孕妇 流沙包,流沙包 孕妇,22,吃 流沙包 孕妇
